11.65,16,9.01,2.34,2,9
11.67,24,5.18,1.80,2,9
11.69,23,4.99,1.52,2,9
11.75,22,4.34,4.50,2,9
11.77,26,7.40,5.07,2,9
11.79,20,9.48,5.43,2,9
11.85,19,13.27,5.98,2,9
11.87,15,16.27,5.84,2,9
11.89,19,16.84,5.23,2,9
11.95,14,19.07,3.85,2,9
11.97,16,18.97,2.64,2,9
11.99,16,16.57,2.18,2,9
12.05,93,15.52,2.70,2,9
12.07,109,15.45,2.73,2,9
12.09,128,16.53,1.81,3,9
12.15,142,15.56,2.28,3,9
12.17,142,8.41,1.93,3,9
12.20,142,9.36,1.53,0,10
12.25,134,9.99,0.71,0,10
12.27,122,10.02,0.89,0,10
12.29,117,9.00,0.88,1,10
12.35,97,9.55,0.65,1,10
12.37,92,9.59,0.69,1,10
12.40,74,9.48,0.81,1,10
12.46,52,9.48,1.23,2,10
12.48,38,10.20,1.60,2,10
12.50,32,10.75,2.01,2,10
12.56,30,13.35,2.24,2,10
12.58,24,12.14,2.63,2,10
12.60,22,12.62,3.06,2,10
12.66,19,17.88,3.20,2,10
12.68,18,17.23,4.09,2,10
12.70,13,15.41,5.06,2,10
12.76,13,9.01,2.34,2,10
12.78,19,5.25,0.92,2,10
12.81,23,3.67,1.93,2,10
12.86,24,3.97,3.30,2,10
12.88,25,4.94,3.90,2,10
12.90,21,7.10,4.49,2,10
12.97,14,8.45,5.36,2,10
12.99,14,11.07,5.78,2,10
13.01,16,13.12,5.90,2,10
13.06,15,20.55,5.17,2,10
13.09,16,20.96,4.08,2,10
13.11,12,18.42,2.79,2,10
13.17,86,17.37,2.31,2,10
13.19,110,14.95,2.91,2,10
13.21,118,16.14,2.54,2,10
13.27,143,20.59,2.62,3,10
13.29,144,9.31,1.85,3,10
13.31,144,7.97,1.56,3,10
13.37,133,9.68,0.57,0,11
13.39,125,9.95,0.65,0,11
13.42,115,8.88,0.67,1,11
13.47,105,9.36,0.70,1,11
13.50,103,9.60,0.66,1,11
13.52,97,9.73,0.78,1,11
13.57,67,9.43,0.87,2,11
